id,molecule_chembl_id,MW,LogP,NumHDonors,NumHAcceptors,Druglikeness
290,CHEMBL335329,370.4520000000001,4.035000000000004,0.0,4.0,1.0
291,CHEMBL155768,203.285,2.558700000000001,0.0,1.0,1.0
292,CHEMBL130831,420.5120000000001,5.188200000000005,0.0,4.0,0.0
293,CHEMBL155746,267.372,3.2498000000000022,0.0,2.0,1.0
294,CHEMBL347354,234.29899999999995,2.8267000000000007,0.0,3.0,1.0
295,CHEMBL130738,322.4080000000001,3.3024400000000025,1.0,3.0,1.0
296,CHEMBL158174,203.32899999999995,3.2269200000000016,0.0,1.0,1.0
297,CHEMBL345241,195.34999999999997,3.298600000000002,0.0,1.0,1.0
298,CHEMBL156763,243.35,2.773500000000001,0.0,2.0,1.0
299,CHEMBL343237,203.329,2.961000000000001,0.0,1.0,1.0
300,CHEMBL345905,243.35,2.773500000000001,0.0,2.0,1.0
301,CHEMBL128172,316.40400000000005,4.026300000000003,1.0,2.0,1.0
302,CHEMBL157017,227.307,2.4476000000000004,0.0,2.0,1.0
303,CHEMBL155128,239.362,4.071700000000003,0.0,1.0,1.0
304,CHEMBL345847,272.34800000000007,2.0145,0.0,3.0,1.0
305,CHEMBL158252,286.3750000000001,2.5596000000000005,1.0,3.0,1.0
306,CHEMBL156874,241.334,2.693600000000001,0.0,2.0,1.0
307,CHEMBL341251,266344.0,2.873100000000001,1.0,2.0,0.0
308,CHEMBL445124,406.5290000000001,5.548000000000005,0.0,3.0,0.0
309,CHEMBL92142,330.47500000000014,5.079600000000005,0.0,2.0,0.0
310,CHEMBL553187,360.5050000000001,4.857800000000004,1.0,4.0,1.0
311,CHEMBL130956,351.45000000000005,3.9750200000000016,1.0,4.0,1.0
312,CHEMBL93936,405.54200000000026,4.509200000000004,0.0,5.0,1.0
313,CHEMBL335167,393.5310000000002,4.791400000000004,1.0,4.0,1.0
314,CHEMBL92629,321.4240000000001,4.151900000000003,1.0,4.0,1.0
315,CHEMBL130270,379.5040000000001,4.7900000000000045,1.0,4.0,1.0
316,CHEMBL340867,365.47700000000015,4.283440000000003,1.0,4.0,1.0
317,CHEMBL330004,399.3320000000001,5.435100000000005,0.0,3.0,0.0
318,CHEMBL93123,439.55900000000014,5.924900000000005,1.0,4.0,0.0
319,CHEMBL420625,335.45100000000014,4.254800000000004,1.0,4.0,1.0
320,CHEMBL92460,320.4360000000001,4.6726000000000045,0.0,3.0,1.0
321,CHEMBL340391,365.47700000000015,4.229000000000004,1.0,4.0,1.0
322,CHEMBL92955,475.61400000000015,5.473400000000005,1.0,5.0,0.0
323,CHEMBL131210,365.47700000000015,4.283440000000003,1.0,4.0,1.0
324,CHEMBL126939,318.42,4.753200000000004,0.0,3.0,1.0
325,CHEMBL329531,331.46300000000014,4.474600000000004,0.0,3.0,1.0
326,CHEMBL418955,350.4620000000001,4.681200000000004,0.0,4.0,1.0
327,CHEMBL92663,363.46100000000007,3.771500000000003,1.0,4.0,1.0
328,CHEMBL131598,351.4500000000001,3.9750200000000033,1.0,4.0,1.0
329,CHEMBL543711,372.516,4.784100000000003,1.0,4.0,1.0
330,CHEMBL335962,365.47700000000015,4.283440000000004,1.0,4.0,1.0
331,CHEMBL131825,351.45000000000005,3.6909000000000023,0.0,4.0,1.0
332,CHEMBL93619,350.4620000000001,4.681200000000004,0.0,4.0,1.0
333,CHEMBL134251,289.3790000000001,2.08232,1.0,4.0,1.0
334,CHEMBL337675,365.47700000000015,4.283440000000003,1.0,4.0,1.0
335,CHEMBL94186,350.46200000000005,4.681200000000005,0.0,4.0,1.0
336,CHEMBL92463,336.4350000000001,4.378200000000004,1.0,4.0,1.0
337,CHEMBL335220,365.4770000000001,4.283440000000003,1.0,4.0,1.0
338,CHEMBL130363,379.5040000000001,4.591860000000004,1.0,4.0,1.0
339,CHEMBL92958,319.4520000000001,4.407700000000004,1.0,2.0,1.0
340,CHEMBL130672,365.4770000000001,4.283440000000003,1.0,4.0,1.0
